"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
22.54,14/01/2022
0.50,03/03/2021
2.24,13/08/2019
8.87,12/07/2016
3.04,31/03/2022
23.90,21/04/2017
101.78,14/10/2020
65.00,10/07/2018
64.41,09/12/2021
38.53,04/07/2022
3.30,03/08/2017
113.00,22/11/2022
90.00,16/11/2019
67.28,28/02/2017
5.50,11/04/2016
39.97,25/08/2017
38.00,20/10/2020
2.72,19/10/2018
0.93,01/10/2017
0.24,27/10/2017
0.71,17/12/2015
57.67,29/06/2020
150.00,02/10/2020
22.60,11/06/2016
118.40,08/09/2021
0.83,11/12/2019
55.00,10/09/2018
17.01,05/05/2017
8.16,01/12/2016
470.92,23/11/2015
"2,892.00",22/11/2022
24.90,31/10/2017
20.00,05/02/2016
10.00,28/09/2021
1.96,29/01/2021
0.66,24/03/2017
415.13,30/07/2015
1.81,03/01/2017
25.68,22/06/2017
0.93,14/08/2015
251.31,01/07/2020
"1,958.32",15/09/2021
1.74,18/06/2021
6.45,07/01/2019
11.93,04/03/2016
100.00,20/04/2017
0.12,22/01/2018
24.29,19/05/2016
41.16,12/07/2016
7.71,06/02/2020
6.30,08/01/2021
55.31,14/06/2022
8.80,05/08/2022
13.39,20/10/2016
66.50,31/10/2021
4.85,27/12/2022
6.43,17/02/2022
14.27,17/07/2019
86.69,01/03/2016
36.75,25/02/2019
24.00,16/05/2016
"3,576.48",24/04/2015
44.00,01/07/2022
"1,800.00",22/08/2022
26.85,31/10/2022
36.35,07/11/2019
0.00,01/01/2022
1.37,01/10/2021
935.70,23/08/2021
599.50,31/03/2020
642.10,26/08/2022
144.94,30/11/2021
26.60,23/06/2015
28.00,28/02/2015
1.81,18/04/2019
1.24,16/09/2021
29.20,22/12/2016
0.45,31/05/2018
225.12,20/04/2015
16.54,22/05/2017
4.57,15/10/2020
0.33,29/02/2016
2.02,19/01/2016
6.09,31/05/2019
7.50,03/11/2015
50.79,31/12/2020
2.00,28/04/2015
2.60,17/06/2019
0.13,31/01/2020
0.13,16/04/2018
15.29,17/03/2017
"1,031.55",29/12/2020
"3,584.00",23/08/2021
15.76,28/09/2018
25.47,16/06/2022
0.03,19/11/2021
28.00,31/03/2019
9.41,03/01/2020
"1,766.97",29/12/2016
0.12,01/05/2015
0.29,08/09/2015
0.15,10/01/2016
289.00,20/11/2018
31.00,21/06/2022
574.00,01/10/2021
1.50,24/11/2020
0.14,18/09/2015
360.00,02/06/2021
0.46,29/06/2018
0.00,25/08/2022
16.28,28/04/2022
1.00,01/04/2015
12.45,14/12/2018
2.46,04/10/2019
79.46,01/09/2021
9.25,14/11/2017
4.21,10/09/2015
4.76,03/07/2019
6.35,04/06/2021
7.52,07/10/2016
0.25,19/09/2017
12.85,07/12/2021
6.87,13/12/2020
12.09,05/10/2017
59.10,30/11/2019
"2,060.00",23/12/2016
0.42,01/04/2016
1.14,20/04/2018
11.00,01/07/2015
900.00,28/01/2015
30.00,15/11/2022
6.64,11/06/2015
41.52,01/10/2020
0.20,06/07/2022
36.50,02/03/2017
0.40,20/12/2022
39.73,18/09/2018
116.43,19/07/2018
"1,653.75",14/07/2021
1.36,30/06/2015
130.00,04/01/2019
6.46,26/12/2020
1.17,06/02/2022
38.99,13/01/2021
262.47,01/07/2021
0.13,31/12/2016
0.28,14/10/2015
473.00,06/02/2019
4.34,26/01/2021
111.62,19/02/2021
180.00,01/10/2020
547.39,18/09/2018
1.83,30/06/2018
0.16,28/03/2017
16.50,01/06/2022
9.51,27/01/2016
11.79,06/12/2018
10.20,02/12/2016
11.57,25/09/2019
0.39,29/07/2021
3.39,28/12/2015
38.02,09/09/2016
10.98,16/01/2018
4.61,30/06/2019
1.52,16/07/2018
9.47,03/02/2015
1.25,14/12/2015
13.00,31/10/2022
84.12,01/02/2019
756.31,13/10/2020
0.49,29/06/2017
39.00,26/02/2016
21.00,11/07/2016
0.96,01/07/2018
0.72,18/01/2017
0.53,17/05/2021
2.27,21/12/2018
0.38,27/08/2015
4.52,25/11/2019
31.70,29/03/2019
37.60,10/06/2021
1.35,24/10/2019
0.94,17/02/2015
951.90,17/03/2021
738.33,28/07/2021
858.06,14/02/2022
"2,832.86",01/12/2020
79.91,18/12/2017
1.28,31/08/2016
7.47,31/03/2019
"1,496.03",24/09/2021
2.85,22/07/2015
130.00,09/06/2015
13.24,30/12/2015
115.00,14/07/2020
18.82,04/10/2019
202.95,12/05/2022
48.98,08/03/2016
70.00,14/07/2017
1.36,30/01/2015
1.98,01/01/2017
0.39,28/09/2018
137.98,15/12/2017
"3,336.37",05/06/2018
"3,246.41",04/08/2015
NA,31/05/2021
19.00,13/11/2015
55.92,31/01/2022
2.54,14/03/2017
2.86,30/06/2018
14.68,29/12/2016
45.53,31/07/2015
2.50,11/09/2015
70.51,29/07/2015
216.48,22/02/2019
5.11,02/12/2015
70.78,08/09/2017
0.04,05/10/2015
0.10,27/03/2018
10.92,25/03/2021
812.39,29/04/2016
3.58,31/03/2022
0.41,30/06/2017
69.90,01/05/2019
194.40,01/09/2021
60.20,30/09/2020
20.00,11/06/2018
69.85,20/03/2015
303.00,10/06/2019
41.60,01/10/2016
5.24,02/02/2020
5.27,02/04/2018
9.73,09/11/2020
20.11,28/09/2017
"10,069.12",01/06/2021
26.56,31/12/2015
141.00,10/09/2015
"2,075.00",01/09/2020
1.14,30/06/2016
0.82,12/07/2017
17.39,10/03/2017
12.10,01/07/2016
62.00,21/09/2016
5.28,17/08/2018
145.19,28/10/2020
236.23,02/10/2017
44.41,31/12/2018
2.84,14/05/2018
0.03,27/11/2019
1.08,30/09/2019
0.06,09/10/2015
0.78,09/12/2020
182.20,20/10/2021
51.92,22/05/2017
0.00,21/01/2022
1.14,30/11/2018
18.00,04/06/2021
132.49,20/11/2015
130.05,12/08/2021
28.53,02/08/2016
3.06,30/06/2020
2.32,02/08/2016
4.42,08/03/2020
22.96,29/12/2017
12.59,30/09/2016
88.31,14/12/2018
15.10,23/12/2022
11.26,28/07/2017
4.51,31/03/2016
1.32,01/07/2017
2.57,01/07/2016
21.88,31/12/2015
34.10,31/08/2016
100.00,01/10/2020
42.00,31/07/2015
304.50,27/05/2015
66.00,15/11/2017
450.00,01/06/2021
0.31,01/02/2016
735.00,01/05/2017
0.01,10/08/2015
697.80,31/03/2016
15.00,11/02/2020
5.50,22/08/2017
2.11,05/01/2015
46.00,24/05/2019
"1,150.00",01/06/2016
230.00,15/11/2022
7.83,25/09/2015
4.09,22/03/2019
78.42,31/12/2020
8.23,31/03/2016
3.00,31/08/2017
8.81,01/09/2017
7.00,11/05/2021
24.70,01/10/2017
24.93,31/07/2017
10.41,01/10/2021
875.00,01/11/2022
10.21,01/11/2018
67.50,06/10/2021
66.70,05/06/2019
200.00,01/02/2020
102.97,22/06/2017
2.30,04/01/2017
36.33,01/04/2015
171.57,04/10/2016
9.70,30/09/2021
47.15,10/03/2017
6.03,10/12/2015
9.67,30/04/2016
1.42,21/01/2016
0.00,05/09/2022
12.80,31/12/2016
1.31,31/03/2021
4.46,26/04/2018
11.00,28/11/2019
25.02,31/03/2016
4.73,01/10/2017
9.67,01/07/2017
0.01,15/12/2015
0.04,16/09/2015
8.19,20/07/2022
1.76,31/12/2018
258.16,06/03/2018
2.44,03/03/2015
18.33,24/06/2015
0.23,19/03/2019
22.89,04/11/2015
262.80,31/03/2016
14.18,06/07/2018
21.51,24/04/2017
5.45,03/01/2017
15.34,27/01/2020
0.31,09/06/2016
10.11,27/07/2016
1.26,18/02/2021
13.93,15/01/2021
8.25,19/04/2021
23.47,01/01/2020
21.00,29/11/2018
0.17,19/12/2016
272.43,25/11/2022
0.14,04/09/2020
126.95,06/02/2019
262.17,31/12/2020
0.08,01/01/2022
19.60,04/11/2020
91.67,03/02/2020
"1,294.88",22/04/2020
272.32,30/03/2015
517.38,30/06/2020
"1,012.07",31/07/2017
1.49,28/12/2021
61.88,03/01/2022
77.68,23/10/2022
31.40,23/11/2017
0.13,28/12/2017
7.14,14/09/2015
410.80,01/07/2015
6.50,31/01/2020
1.91,02/10/2020
4.61,14/06/2018
97.43,30/07/2019
355.00,25/06/2018
0.08,31/08/2019
761.50,03/02/2016
262.00,01/10/2021
185.00,28/09/2022
2.16,16/12/2020
776.42,01/08/2019
1.32,12/12/2022
32.50,08/02/2022
1.50,03/03/2016
957.00,07/01/2015
355.55,30/09/2019
4.50,01/07/2015
98.40,17/12/2022
441.00,31/01/2022
219.59,28/07/2015
436.62,02/12/2015
986.25,22/04/2016
0.02,16/03/2017
7.33,08/09/2015
9.34,20/08/2018
2.25,17/11/2021
300.18,11/03/2020
260.00,01/08/2017
0.02,28/02/2019
54.07,30/11/2021
91.91,01/03/2021
28.00,24/06/2015
129.90,28/01/2016
90.00,29/09/2017
12.67,23/11/2018
28.41,22/11/2017
10.72,31/07/2020
0.02,02/05/2016
20.25,17/01/2019
"1,050.00",09/10/2018
378.90,29/02/2016
"1,044.16",09/10/2018
12.33,03/07/2020
0.49,05/01/2016
47.18,02/07/2018
333.76,26/08/2021
0.06,03/08/2017
7.77,05/02/2015
9.42,16/05/2022
9.46,24/06/2016
0.94,20/05/2015
0.49,07/01/2016
"7,062.42",16/08/2022
0.18,28/08/2017
0.86,28/08/2017
83.48,06/12/2017
21.92,03/08/2015
19.06,07/12/2015
5.00,31/03/2018
0.00,27/05/2020
6.82,31/07/2017
8.34,20/09/2022
83.65,24/02/2018
0.07,30/08/2019
2.00,20/10/2016
1.20,28/12/2022
531.35,21/12/2022
40.00,22/07/2016
236.00,12/11/2021
60.00,18/11/2022
126.93,26/03/2019
0.52,23/12/2016
67.63,28/10/2020
15.98,31/03/2022
0.06,24/09/2015
0.45,30/03/2020
13.19,04/03/2016
176.70,01/10/2021
1.01,02/12/2016
12.27,28/12/2016
3.04,30/06/2015
2.09,31/05/2017
2.17,31/07/2018
9.05,18/05/2016
335.86,30/04/2019
370.00,31/10/2018
"20,927.36",01/04/2021
13.00,02/06/2020
0.98,11/08/2017
15.02,16/11/2020
4.64,31/01/2018
1.13,30/08/2022
6.55,01/08/2017
3.03,08/07/2016
35.70,30/10/2015
0.00,30/11/2015
107.55,23/02/2017
"1,277.48",28/01/2016
600.02,14/05/2015
29.18,10/12/2020
205.92,24/10/2016
240.87,31/12/2016
30.00,17/08/2021
1.68,30/04/2021
3.78,04/03/2019
179.04,31/07/2019
198.00,05/09/2020
29.50,28/02/2015
0.35,30/04/2017
0.10,03/09/2019
0.53,02/12/2015
0.78,28/09/2020
89.40,08/01/2015
7.00,01/12/2015
49.99,22/02/2021
30.04,30/06/2016
0.72,30/06/2017
0.63,30/11/2017
1.36,06/02/2017
0.22,24/11/2017
47.19,18/12/2020
25.00,07/10/2019
4.01,24/12/2015
0.22,04/11/2022
0.36,04/07/2017
47.33,04/11/2021
13.42,05/06/2019
2.58,30/11/2015
10.49,10/09/2021
54.30,07/12/2020
48.83,28/04/2022
173.12,09/05/2022
1.03,29/04/2016
"1,828.85",04/08/2022
433.12,30/11/2021
48.12,06/01/2015
6.66,01/03/2017
361.25,04/02/2017
71.82,30/07/2015
0.13,28/01/2022
7.43,01/06/2017
14.35,18/12/2019
30.00,31/03/2017
0.01,07/09/2015
666.27,20/12/2017
"1,277.60",01/09/2020
8.44,03/07/2015
"1,256.12",28/04/2016
72.13,27/11/2019
200.00,11/03/2019
605.10,27/01/2022
941.95,15/11/2017
84.59,28/07/2017
7.34,01/06/2016
163.80,21/11/2017
"3,666.37",20/12/2019
1.11,11/06/2021
496.68,31/12/2020
84.59,23/03/2015
4.90,13/09/2019
504.90,10/10/2020
23.95,29/03/2021
43.91,11/01/2019
0.03,03/06/2015
0.61,22/06/2016
86.27,26/12/2016
2.96,06/02/2015
725.00,11/10/2022
315.00,17/03/2022
17.00,30/06/2016
262.21,01/11/2020
4.71,01/01/2020
12.28,17/11/2015
182.90,13/11/2018
7.66,06/05/2015
72.80,29/03/2019
4.27,30/06/2016
10.04,01/02/2019
4.81,30/07/2021
0.37,27/07/2015
0.53,15/10/2015
61.08,07/04/2016
5.51,25/10/2021
167.86,30/12/2016
0.06,15/08/2017
0.07,10/11/2017
0.02,16/09/2015
0.01,12/02/2015
0.02,09/09/2015
0.03,05/10/2015
0.07,14/09/2015
0.02,02/03/2017
0.19,28/02/2017
0.21,31/05/2017
0.38,26/06/2017
0.03,29/02/2016
1.64,10/09/2016
88.74,19/12/2018
0.56,04/04/2017
2.28,22/11/2018
12.72,24/10/2018
0.20,09/09/2017
0.40,08/06/2016
9.80,23/01/2018
1.51,30/09/2021
2.50,08/11/2017
91.09,11/12/2021
0.06,18/09/2015
1.85,29/03/2018
70.00,28/01/2019
0.52,04/04/2017
0.86,01/08/2017
0.00,16/10/2019
1.44,14/09/2016
199.98,12/10/2021
113.56,21/08/2022
3.35,30/03/2017
212.31,21/10/2021
116.00,29/11/2022
0.27,17/02/2015
0.36,20/04/2016
46.00,11/05/2016
54.93,02/11/2018
2.95,13/11/2018
86.04,31/12/2021
8.96,01/11/2018
65.51,26/05/2021
36.77,31/10/2018
3.44,16/12/2016
101.52,31/12/2021
15.13,31/12/2019
309.47,14/09/2018
311.62,30/09/2018
60.05,01/04/2018
1.85,31/03/2016
1.45,04/07/2019
"1,000.00",05/02/2021
31.48,20/10/2020
186.21,31/07/2020
8.93,04/05/2016
3.12,31/07/2017
97.63,24/05/2021
"1,173.10",30/03/2022
105.11,06/04/2022
95.20,01/11/2019
0.81,28/05/2019
3.50,25/08/2020
5.74,01/03/2022
10.43,01/03/2022
1.23,18/01/2017
158.74,31/01/2021
31.93,02/07/2021
11.88,01/04/2017
66.40,30/09/2018
161.02,27/03/2020
387.43,27/03/2020
14.00,06/12/2021
8.31,30/09/2022
263.93,30/12/2016
649.49,01/03/2019
24.61,31/03/2022
14.77,01/04/2017
5.41,31/05/2017
2.70,02/11/2015
3.47,15/08/2017
0.47,04/05/2018
130.71,16/10/2015
12.02,01/01/2015
71.39,11/10/2019
36.00,01/04/2020
277.24,03/04/2018
964.29,11/08/2021
3.70,14/06/2017
3.25,04/01/2019
28.97,01/06/2017
20.16,01/02/2015
4.51,14/01/2019
29.13,24/05/2021
65.99,15/11/2018
"3,027.10",26/09/2019
107.62,18/02/2015
31.74,20/03/2015
56.31,22/12/2016
2.76,20/12/2019
3.28,06/07/2019
47.60,06/03/2020
0.02,31/03/2015
0.00,18/12/2015
0.02,31/07/2015
6.51,01/04/2022
3.45,09/12/2015
200.00,01/04/2020
"3,209.25",11/05/2018
3.18,14/11/2016
49.20,17/12/2022
1.35,31/10/2021
37.29,01/06/2016
97.00,20/03/2015
0.52,21/12/2020
58.34,31/12/2015
61.40,26/01/2018
205.90,18/12/2020
4.44,06/02/2015
56.11,24/12/2020
79.81,22/12/2015
20.00,17/12/2018
16.50,15/09/2021
191.30,31/01/2020
2.57,30/01/2020
6.13,30/12/2018
15.00,14/09/2020
44.75,09/08/2017
22.94,27/07/2017
240.43,01/07/2018
44.32,21/08/2020
265.87,11/12/2015
3.01,06/09/2022
7.32,02/08/2018
127.12,20/04/2015
24.96,30/07/2020
0.49,03/06/2021
0.21,01/08/2019
0.05,30/04/2019
20.00,31/03/2021
120.00,30/05/2020
950.02,29/04/2022
413.88,12/05/2021
550.00,31/12/2019
7.83,04/05/2015
68.03,08/01/2018
21.08,02/12/2015
84.12,31/12/2015
18.52,02/04/2015
"1,380.00",18/09/2017
"4,325.70",18/09/2017
380.00,27/02/2015
3.70,01/03/2021
5.00,20/08/2019
172.50,17/11/2017
29.09,02/06/2016
3.00,18/07/2017
55.80,31/08/2020
198.50,12/11/2021
390.00,13/09/2018
1.29,01/08/2020
3.01,29/08/2020
128.83,04/08/2015
25.65,25/12/2018
217.80,16/11/2015
49.47,18/03/2015
286.84,03/12/2019
64.97,13/05/2017
249.82,25/06/2018
15.51,14/09/2016
15.01,25/08/2016
80.23,31/03/2020
845.84,04/11/2020
2.96,02/11/2016
2.63,12/02/2020
0.01,05/07/2019
0.78,06/08/2019
171.67,03/07/2021
31.00,01/01/2017
22.53,01/03/2018
173.94,12/11/2020
1.96,08/12/2022
5.94,30/01/2018
0.10,12/11/2021
4.12,30/08/2018
47.07,30/08/2018
7.02,15/01/2015
188.00,01/05/2020
38.13,28/12/2017
20.00,01/11/2015
1.98,30/06/2018
4.50,16/10/2018
88.00,22/10/2021
133.62,01/06/2016
6.45,30/04/2017
131.30,23/10/2019
7.79,12/03/2021
25.26,13/01/2020
0.04,19/03/2020
3.50,31/12/2018
20.80,31/05/2022
4.83,01/12/2017
24.09,31/08/2015
790.25,07/06/2018
80.97,31/01/2019
0.82,23/02/2018
0.19,07/03/2016
0.42,14/07/2015
194.15,15/06/2021
3.43,23/08/2021
21.06,01/06/2022
0.03,18/08/2017
0.08,01/03/2016
0.04,28/12/2017
8.92,03/03/2022
4.90,18/05/2020
81.05,08/09/2015
20.00,31/01/2017
0.05,08/11/2019
13.22,14/10/2020
26.39,11/04/2018
6.47,10/11/2021
211.74,15/06/2016
9.00,04/11/2021
0.01,05/07/2017
60.80,29/11/2021
0.01,22/06/2018
NA,23/02/2017
120.23,17/06/2016
8.10,31/08/2017
39.90,20/06/2021
2.01,29/03/2019
2.98,09/02/2016
26.05,09/05/2017
2.00,30/06/2017
80.00,25/10/2021
3.32,07/07/2015
6.71,01/04/2017
7.43,11/12/2018
100.25,05/01/2017
3.84,01/07/2015
7.17,31/03/2021
45.00,02/01/2015
118.12,29/01/2016
9.43,10/12/2019
7.00,01/03/2022
19.74,16/12/2016
1.59,24/02/2017
35.00,01/04/2016
3.44,20/07/2017
"6,700.00",31/12/2018
0.14,31/12/2017
13.00,24/06/2015
20.00,25/09/2020
0.00,24/11/2015
83.87,16/09/2020
35.48,14/12/2020
"1,115.78",17/06/2021
14.48,04/08/2020
2.95,06/05/2015
22.80,03/01/2020
"1,536.34",20/08/2015
135.50,25/04/2022
30.02,09/10/2020
0.73,31/12/2021
668.30,08/01/2020
4.18,30/11/2016
96.50,28/08/2015
181.76,14/02/2019
18.37,27/12/2016
275.09,01/11/2017
20.60,30/11/2017
4.50,23/10/2018
585.00,22/11/2019
0.30,28/01/2019
10.13,31/01/2018
5.00,30/10/2020
3.50,02/06/2015
2.27,15/07/2021
62.27,31/03/2015
157.57,29/02/2020
2.00,29/04/2019
336.39,15/10/2021
1.01,31/07/2015
8.73,30/06/2018
1.68,29/03/2018
3.56,21/08/2015
30.20,06/10/2017
3.85,01/04/2015
0.14,27/12/2017
43.80,29/03/2018
37.07,18/06/2015
132.34,23/04/2019
18.35,01/06/2016
0.75,21/02/2018
6.70,12/11/2021
14.80,30/06/2022
220.00,13/07/2022
64.78,30/12/2021
8.91,26/11/2018
8.35,04/05/2021
675.00,01/07/2019
0.93,31/12/2015
0.10,31/01/2020
15.48,31/01/2020
1.10,18/06/2015
265.05,04/07/2018
26.00,31/12/2015
0.60,10/04/2015
0.55,22/02/2016
0.04,27/08/2015
4.06,05/07/2021
0.00,14/06/2019
0.50,07/07/2021
15.00,30/12/2021
17.64,30/11/2020
2.62,09/10/2017
46.01,30/12/2020
99.34,08/09/2020
8.12,30/04/2021
1.08,01/12/2021
1.20,31/05/2015
5.00,03/10/2022
13.44,02/08/2021
1.32,03/01/2019
1.71,22/07/2016
33.49,10/06/2021
130.69,30/09/2021
3.73,09/12/2021
3.69,03/04/2018
1.06,19/03/2018
18.30,23/06/2016
949.49,10/08/2015
400.00,12/07/2021
8.15,19/07/2021
624.36,02/10/2017
1.29,30/05/2019
1.61,30/05/2019
4.06,29/11/2022
8.62,01/12/2016
5.74,17/08/2015
3.75,01/04/2019
0.97,10/01/2018
0.05,19/12/2017
0.30,12/08/2016
0.40,27/05/2016
0.32,18/02/2016
0.20,22/06/2017
0.20,12/04/2017
0.20,11/04/2017
0.30,01/02/2017
0.30,28/10/2016
0.20,28/08/2017
329.26,23/08/2017
380.00,14/07/2016
146.00,16/12/2016
0.76,28/02/2015
2.91,19/02/2020
0.54,14/10/2015
470.69,01/12/2017
18.93,13/02/2019
9.00,07/02/2020
200.00,20/03/2015
0.20,23/06/2017
27.91,27/06/2018
0.00,27/06/2017
243.70,30/06/2017
0.01,30/10/2015
6.30,25/06/2020
305.25,15/01/2018
0.18,02/10/2015
"2,000.00",06/12/2021
341.72,07/09/2017
"1,000.00",28/10/2018
2.28,01/03/2021
"1,200.00",24/08/2021
90.00,29/07/2020
"1,541.00",01/10/2020
17.19,10/02/2017
232.65,01/11/2021
146.00,31/01/2019
"1,170.00",07/12/2022
5.38,15/09/2018
31.07,17/10/2017
3.32,30/11/2017
65.08,30/05/2016
5.67,17/01/2015
2.88,05/06/2015
8.87,16/10/2019
"1,079.14",16/12/2016
"1,102.35",15/12/2016
8.00,28/02/2019
211.23,09/11/2017
40.00,14/08/2020
86.49,22/12/2016
70.00,01/07/2022
124.99,19/08/2016
9.95,05/03/2020
7.00,24/06/2019
58.36,28/06/2022
59.45,10/05/2016
7.27,29/07/2022
433.17,03/06/2020
"1,429.68",19/06/2017
"1,162.00",10/11/2016
40.00,14/03/2016
8.62,14/06/2022
29.75,23/11/2020
56.43,28/06/2017
0.98,31/12/2015
168.45,31/10/2021
44.90,01/09/2021
2.20,01/03/2021
201.90,01/12/2017
11.84,17/03/2015
0.97,30/11/2019
281.73,02/03/2021
912.25,07/03/2018
4.97,31/07/2019
8.33,19/03/2021
25.21,01/07/2015
0.38,12/12/2022
0.02,13/03/2018
9.32,09/05/2018
675.20,01/10/2020
0.47,22/09/2021
0.07,10/09/2015
0.01,10/09/2015
5.72,11/05/2018
1.17,18/07/2019
2.44,14/07/2016
8.47,08/03/2017
0.10,08/05/2018
88.04,01/01/2019
66.20,19/07/2016
3.80,31/10/2017
6.91,19/11/2015
13.83,22/08/2020
2.20,14/12/2017
3.48,22/05/2017
0.16,29/09/2016
13.56,30/09/2017
14.30,25/01/2018
3.07,23/07/2015
1.85,09/11/2015
9.64,13/07/2022
0.37,11/03/2016
0.05,22/08/2016
30.90,16/04/2016
0.04,18/09/2020
1.26,02/07/2015
0.18,25/08/2018
14.14,08/05/2020
3.99,26/09/2018
13.05,28/01/2022
483.03,22/12/2016
1.21,14/04/2020
2.71,31/12/2017
38.60,01/10/2019
20.10,01/10/2021
1.24,22/02/2018
2.50,03/05/2019
23.28,12/04/2018
8.48,28/11/2018
0.21,25/03/2019
0.11,20/12/2018
0.14,03/03/2016
0.02,21/03/2016
0.67,24/08/2018
2.27,25/08/2018
148.03,21/12/2016
113.19,30/11/2015
60.47,08/04/2020
38.76,16/05/2020
51.82,19/05/2022
407.92,31/10/2021
3.23,22/10/2021
0.62,28/09/2015
15.53,15/09/2021
0.36,17/04/2020
4.27,11/05/2018
21.57,04/11/2022
13.84,16/02/2015
277.00,28/04/2016
3.30,30/04/2019
2.42,13/07/2015
0.66,04/01/2016
17.72,21/04/2015
91.05,23/06/2020
164.40,30/10/2019
0.24,28/04/2018
3.24,23/03/2016
15.53,15/06/2018
3.12,14/09/2018
66.32,23/10/2017
59.92,02/11/2016
1.45,30/06/2016
1.53,15/10/2015
2.08,22/01/2016
0.15,16/03/2016
16.22,30/08/2021
3.71,26/02/2021
3.19,26/02/2021
"1,164.43",01/12/2016
80.14,17/12/2018
10.30,12/10/2018
2.50,13/06/2018
3.42,05/12/2022
31.40,30/12/2021
3.31,04/01/2018
96.64,10/02/2015
51.51,26/07/2016
5.82,11/08/2017
25.26,16/10/2018
254.94,09/03/2018
287.52,25/12/2015
21.00,28/05/2021
30.91,13/04/2016
2.16,21/04/2020
30.65,30/09/2018
49.20,19/02/2020
4.07,22/11/2017
0.14,16/12/2016
7.31,02/12/2015
33.29,20/04/2018
8.85,16/01/2020
0.20,04/06/2018
20.16,01/07/2015
18.29,19/11/2020
41.58,02/09/2016
4.16,31/08/2017
14.68,05/04/2021
7.61,16/01/2017
1.50,16/05/2016
167.99,03/01/2017
34.08,25/09/2015
23.24,25/09/2015
5.71,17/05/2021
90.03,08/02/2017
0.14,20/11/2018
1.43,31/10/2015
1.73,31/10/2015
48.65,17/06/2017
0.01,11/12/2015
0.44,31/12/2015
0.38,01/04/2016
407.28,08/05/2020
6.67,15/05/2017
35.36,19/09/2022
137.39,29/05/2020
163.18,16/12/2021
6.00,25/11/2022
0.15,01/11/2017
16.83,24/09/2016
0.71,28/04/2017
381.53,07/01/2020
3.39,12/05/2020
NA,14/09/2016
0.35,03/06/2016
4.36,14/12/2018
36.60,28/02/2020
2.41,28/02/2017
1.08,01/03/2016
126.32,28/06/2018
28.99,14/01/2017
11.95,30/06/2017
4.43,31/12/2016
1.06,03/12/2015
5.29,23/08/2015
15.06,18/08/2016
15.56,18/08/2015
4.59,16/12/2020
0.24,31/03/2015
11.26,09/12/2015
153.05,21/06/2016
71.49,21/11/2017
9.59,15/07/2019
10.24,31/08/2022
1.38,30/11/2015
1.34,01/09/2016
238.09,04/08/2022
2.36,25/05/2015
1.58,06/11/2015
287.20,26/08/2016
"1,611.32",02/07/2019
27.00,06/09/2021
4.41,17/09/2020
5.46,20/06/2017
4.72,31/07/2015
4.72,31/07/2015
527.76,28/04/2016
7.92,22/11/2016
35.14,28/06/2022
7.08,09/06/2015
210.44,31/05/2016
45.44,19/08/2019
12.35,30/11/2015
0.29,08/04/2015
56.07,29/04/2016
1.44,09/12/2022
2.79,31/12/2019
20.11,07/04/2017
0.15,15/07/2016
103.14,31/12/2016
10.02,12/08/2020
64.39,23/03/2018
2.30,29/06/2018
288.74,05/12/2015
4.69,25/12/2015
0.21,21/01/2020
0.35,24/04/2018
38.36,11/05/2016
0.15,15/07/2016
1.58,28/09/2018
27.50,22/03/2021
1.68,13/06/2016
0.19,28/10/2017
7.94,19/08/2021
86.00,14/06/2018
62.24,26/11/2018
8.84,28/06/2016
0.15,07/12/2015
7.08,07/11/2018
3.88,14/11/2018
1.43,29/09/2022
1.85,27/12/2017
84.90,05/06/2015
170.29,20/04/2016
0.10,27/04/2016
335.75,24/10/2017
116.18,05/12/2016
120.83,05/12/2016
22.85,01/06/2016
24.20,01/06/2015
0.43,13/01/2015
15.46,10/04/2016
0.40,09/10/2017
0.82,26/12/2016
31.89,19/09/2017
219.14,29/09/2018
34.56,27/12/2017
51.30,20/07/2016
0.04,20/05/2021
4.82,25/10/2017
252.09,23/05/2018
0.00,31/07/2020
65.94,07/12/2016
0.89,15/02/2022
0.69,13/12/2016
7.80,02/11/2021
1.64,06/12/2021
"2,510.09",15/03/2016
0.35,31/05/2016
15.26,19/05/2017
22.69,08/10/2020
1.17,05/03/2015
49.64,14/10/2016
8.22,23/12/2020
62.12,24/04/2015
512.80,24/10/2020
229.51,24/08/2016
1.42,21/01/2020
2.39,30/03/2020
0.10,16/12/2016
0.04,30/06/2017
144.93,31/08/2017
1.51,02/04/2016
348.97,15/02/2018
1.06,30/12/2016
172.44,31/07/2018
0.82,13/04/2015
11.82,30/12/2020
1.47,18/10/2017
169.46,30/08/2017
0.43,01/10/2022
25.80,15/08/2017
40.64,16/07/2015
83.81,22/10/2015
128.39,30/06/2015
0.32,30/11/2017
0.35,01/03/2017
0.05,10/06/2015
0.26,18/05/2017
21.98,26/12/2022
513.27,22/04/2019
292.50,22/10/2019
13.75,15/12/2018
40.16,27/07/2016
5.21,30/12/2021
7.35,05/03/2021
6.75,01/08/2018
114.49,25/08/2015
0.78,31/08/2015
10.93,15/12/2022
100.63,07/01/2016
0.02,10/04/2015
0.99,16/08/2018
13.52,03/06/2020
22.43,26/10/2020
16.07,11/11/2016
11.43,13/04/2021
0.00,30/04/2015
0.45,05/09/2016
0.20,21/03/2018
29.26,31/12/2016
25.07,26/10/2016
61.50,19/10/2018
1.35,15/06/2015
3.77,29/08/2020
95.59,18/12/2020
0.60,30/06/2016
2.78,25/10/2018
